index,column,dtype,n_missing,pct_missing,n_unique,min,median,max,mean,top_values
1,id,int64,0,0.0,22122,76.0,42254.5,269705.0,63869.515,
2,body_id,int64,0,0.0,1,42.0,42.0,42.0,42.0,
3,body_key,object,0,0.0,1,,,,,CHE (22122)
4,external_id,object,0,0.0,22122,,,,,e63a9903-8c6c-4679-b6bf-fed395837ade (1); 14c9caca-7d52-4118-a3b0-0f237005ddc0 (1); 1 (1)
5,person_id,float64,0,0.0,3708,12.0,21446.0,25449.0,20097.574,
6,person_fullname,object,0,0.0,3689,,,,,Maya Graf (118); Carlo Sommaruga (114); Hannes Germann (109)
7,group_id,float64,0,0.0,380,1334.0,1690.0,7004.0,2856.701,
8,group_name_de,object,0,0.0,445,,,,,Nationalrat (4398); Ständerat (1219); Büro NR (415)
9,group_name_fr,object,8,0.04,439,,,,,Conseil national (4398); Conseil des Etats (1219); Bureau CN (415)
10,group_name_it,object,1970,8.91,365,,,,,Consiglio nazionale (4398); Consiglio degli Stati (1219); Ufficio CN (415)
11,role_name_de,object,5999,27.12,15,,,,,Mitglied (13073); Präsident/in (1483); Vizepräsident/in (760)
12,role_name_fr,object,5999,27.12,18,,,,,Membre (8003); membre (4635); Président(e) (1465)
13,role_name_it,object,5999,27.12,17,,,,,Membro (8003); membro (4635); Presidente (1483)
14,begin_date,datetime64[ms],5367,24.26,1544,,,,,2019-12-02 00:00:00 (1184); 2003-12-01 00:00:00 (1050); 2007-12-03 00:00:00 (1043)
15,end_date,datetime64[ms],6620,29.92,2044,,,,,2023-12-03 00:00:00 (1241); 2011-12-04 00:00:00 (1097); 2019-12-01 00:00:00 (1094)
16,active,object,451,2.04,2,,,,,False (15502); True (6169)
17,type_external_de,object,6,0.03,8,,,,,Ständig (9189); Rat (5992); Parlamentarische Gruppen (3807)
18,type_external_fr,object,6,0.03,8,,,,,Permanente (9189); Conseil (5992); Intergroupes parlementaires (3807)
19,type_external_it,object,6,0.03,8,,,,,Permanente (9189); Consiglio (5992); Intergruppi parlamentari (3807)
20,type_harmonized,object,0,0.0,9,,,,,committee (9189); council_legislative (5617); interest_group (4653)
21,type_harmonized_oparl_id,int64,0,0.0,9,2.0,6.0,12.0,5.836,
22,type_harmonized_de,object,0,0.0,9,,,,,Kommission (9189); Parlament (Legislativrat) (5617); Interessengruppe (4653)
23,type_harmonized_fr,object,0,0.0,9,,,,,Commission (9189); Conseil législatif (5617); Groupe d’intérêt (4653)
24,type_harmonized_it,object,0,0.0,9,,,,,Commissione (9189); Consiglio legislativo (5617); Gruppo d’interesse (4653)
25,type_harmonized_rm,object,0,0.0,9,,,,,Cumissiun (9189); Cussegl legislativ (5617); Gruppa d’interess (4653)
26,type_harmonized_en,object,0,0.0,9,,,,,Committee (9189); Legislative Council (5617); Interest group (4653)
27,updated_external_at,datetime64[ms],0,0.0,3832,,,,,2026-05-01 00:00:00 (4039); 2010-12-26 13:07:50 (176); 2025-07-01 00:00:00 (136)
28,updated_at,datetime64[ms],0,0.0,34,,,,,2026-05-17 03:44:26 (10753); 2026-05-17 03:50:15 (5998); 2026-05-17 03:42:25 (3427)
29,created_at,datetime64[ms],0,0.0,53,,,,,2025-08-14 07:44:03 (21250); 2025-08-18 21:41:23 (173); 2026-01-06 02:18:37 (125)
